# photometric and parallax of HARPS spectra
# P Jofre, cambridge, Fri Feb  6 23:33:57 2015
Star ra  dec  plx  e_plx  hpmag  s_hpmag b-v  e_b-v  v-i vmag sourceVmag  J2mass  eJ2mass  H2mass  eH2mass  K2mass  eK2mass qual2mass n(in1arcmin) 
  HIP12247      39.4240721266      -3.3960678584     10.81     0.45    5.8154   0.006    1.021   0.001    0.950    5.650   H    3.940   0.266    3.386   0.234    3.266   0.258   DDD   01
  HIP12350      39.7526914650      -8.9277625345     19.49     0.66    7.1244   0.009    0.702   0.004    0.760    6.980   H    5.731   0.018    5.420   0.029    5.315   0.020   AAA   01
  HIP12411      39.9481938781     -33.8990864537     24.94     0.80    8.4390   0.018    0.708   0.003    0.760    8.300   H    7.021   0.023    6.687   0.042    6.587   0.026   AAA   02
  HIP12483      40.1599752479     -30.1355877788     17.71     0.92    8.1385   0.013    0.564   0.006    0.640    8.010   G    6.861   0.020    6.530   0.033    6.477   0.017   AAA   01
  HIP12486      40.1663810591     -39.8553081287     21.65     0.18    4.2751   0.006    1.006   0.037    1.050    4.110   G    2.097   0.246    1.563   0.210    1.507   0.240   DCD   01
  HIP13128      42.2160316831      -1.5100665297     18.19     0.72    8.2657   0.010    0.529   0.026    0.600    8.160   G    7.097   0.021    6.802   0.051    6.765   0.024   AAA   01
  HIP13267      42.6726657462     -44.0806404644     15.60     0.65    8.2880   0.017    0.568   0.026    0.660    8.160   H    7.086   0.032    6.786   0.040    6.695   0.021   AAA   02
  HIP13288      42.7597735201     -21.0039785891     17.45     0.20    4.9284   0.005    0.906   0.009    0.910    4.760   G    3.110   0.202    2.605   0.184    2.483   0.230   CCD   01
  HIP13388      43.0807770349     -33.4506564642     40.83     0.74    8.2352   0.015    0.827   0.006    0.870    8.090   G    6.560   0.021    6.088   0.036    5.981   0.024   AAA   02
  HIP13402      43.1328765498     -12.7692531620     96.60     0.40    6.1909   0.012    0.862   0.015    0.910    6.050   H    4.830   0.230    4.230   0.220    4.167   0.242   DDD   02
  HIP13701      44.1066813037      -8.8976096688     23.89     0.19    4.0583   0.005    1.088   0.025    1.080    3.890   G    2.117   0.288    1.582   0.266    1.471   0.292   DDD   01
  HIP13718      44.1574444291     -22.3103190369     23.26     0.94    8.7083   0.016    0.781   0.004    0.820    8.570   G    7.227   0.024    6.918   0.036    6.815   0.016   AAA   03
   HIP1382       4.3175259062     -43.8526928559     27.51     0.64    8.0908   0.018    0.651   0.003    0.700    7.960   H    6.766   0.019    6.480   0.026    6.384   0.026   AAA   01
  HIP13976      45.0109103106       7.7497036265     41.00     1.12    8.1133   0.012    0.926   0.015    0.970    7.970   G    6.323   0.020    5.951   0.042    5.841   0.024   AAA   02
  HIP14001      45.0706889265      -9.0397035590     22.90     1.22    9.0853   0.025    0.902   0.028    0.900    8.940   H    7.472   0.019    7.136   0.033    6.972   0.020   AAA   01
  HIP14023      45.1486988356       5.9864468079     32.14     1.18    8.2603   0.011    0.838   0.007    0.880    8.110   G    6.687   0.026    6.309   0.038    6.192   0.020   AAA   02
  HIP14086      45.4060416876     -28.0904815121     31.06     0.36    6.0210   0.007    0.794   0.007    0.900    5.880   G    4.364   0.276    3.793   0.244    3.824   0.306   DDD   02
  HIP14110      45.4837204672      -9.9613929958      9.89     0.50    6.0053   0.007    1.092   0.023    1.020    5.840   H    4.054   0.232    3.395   0.222    3.314   0.208   DDC   02
